"AtomId";"Name";"SourceName";"SourceGroupName";"GroupsOfSourceGroupName";"IsPaidName";"CampaignId";"AdsetId";"AdId"
10814;"120210895016750016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210895016750016";"120210895016820016";"120211059160160016"
10815;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211166056140016"
10816;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211166267560016"
10817;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211166460130016"
10818;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211166633550016"
10819;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211166727930016"
10821;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211185947460016"
10822;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211186022140016"
10823;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211186173580016"
10824;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211187840540016"
10825;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211188019390016"
10826;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210973359040016";"120211188117170016"
10827;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211204929970016";"120211204930040016"
10828;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211204929970016";"120211204930060016"
10829;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211204929970016";"120211204930080016"
10830;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213962990016"
10831;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963000016"
10832;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963010016"
10833;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963020016"
10834;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963030016"
10835;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963040016"
10836;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963050016"
10837;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963060016"
10838;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963070016"
10839;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963080016"
10840;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963090016"
10841;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963100016"
10842;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963110016"
10843;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211213962980016";"120211213963120016"
10844;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211230341410016"
10845;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211230511240016"
10846;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211230809270016"
10847;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211230911850016"
10848;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211231118860016"
10849;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210897688250016";"120211231146280016"
10850;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303770016"
10851;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303780016"
10852;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303790016"
10853;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303800016"
10854;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303810016"
10855;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120210487454120016";"120211231303820016"
10856;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868620016"
10857;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868630016"
10858;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868640016"
10859;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868650016"
10860;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868660016"
10861;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868670016"
10862;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868680016"
10863;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120210996808900016";"120211241868690016"
10864;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606430016"
10865;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606450016"
10866;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606460016"
10867;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606470016"
10868;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606480016"
10869;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606490016"
10870;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606500016"
10871;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606510016"
10872;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606520016"
10873;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606530016"
10874;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211246606440016";"120211246606540016"
10875;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981140016"
10876;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981160016"
10877;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981170016"
10878;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981180016"
10879;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981190016"
10880;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981200016"
10881;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981210016"
10882;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981220016"
10883;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981230016"
10884;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981240016"
10885;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981250016"
10886;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981260016"
10887;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981270016"
10888;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211271981150016";"120211271981280016"
10889;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619830016"
10890;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619890016"
10891;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619910016"
10892;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619920016"
10893;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619930016"
10894;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619940016"
10895;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211272619840016";"120211272619970016"
10899;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621280016"
10900;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621300016"
10901;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621310016"
10902;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621320016"
10903;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621330016"
10904;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621340016"
10905;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621350016"
10906;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621360016"
10907;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621370016"
10908;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621380016"
10909;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621390016"
10910;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621400016"
10911;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621410016"
10912;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211579621290016";"120211579621420016"
10913;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600256220016";"120211600256340016"
10914;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600256220016";"120211600256390016"
10915;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600325580016";"120211600325560016"
10916;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600325580016";"120211600325570016"
10917;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600425030016";"120211600425040016"
10918;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600425030016";"120211600425050016"
10919;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600473430016";"120211600473410016"
10920;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600473430016";"120211600473420016"
10921;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600517630016";"120211600517640016"
10922;"120211600256060016";Facebook;Facebook and Instagram;Target Ads;Paid;"120211600256060016";"120211600517630016";"120211600517650016"
10923;"120211600745050016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745050016"
10924;"120211600745060016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745060016"
10925;"120211600745070016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745070016"
10926;"120211600745080016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745080016"
10927;"120211600745100016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745100016"
10928;"120211600745110016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745110016"
10929;"120211600745120016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745120016"
10930;"120211600745130016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745130016"
10931;"120211600745140016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745140016"
10932;"120211600745150016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745150016"
10933;"120211600745160016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745160016"
10934;"120211600745170016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745170016"
10935;"120211600745180016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745180016"
10936;"120211600745190016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211600745190016"
10937;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070340016"
10938;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070360016"
10939;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070370016"
10940;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070380016"
10941;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070410016"
10942;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070420016"
10943;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070430016"
10944;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070440016"
10945;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070450016"
10946;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070460016"
10947;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070470016"
10948;"120210487454100016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210487454100016";"120211632070350016";"120211632070480016"
10949;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342180016"
10950;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342200016"
10951;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342210016"
10952;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342220016"
10953;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342230016"
10954;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342240016"
10955;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342250016"
10956;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342260016"
10957;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342270016"
10958;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342280016"
10959;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342290016"
10960;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342300016"
10961;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342310016"
10962;"120210973358950016";Facebook;Facebook and Instagram;Target Ads;Paid;"120210973358950016";"120211665342190016";"120211665342320016"
10963;"120211665386320016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386320016"
10964;"120211665386340016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386340016"
10965;"120211665386350016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386350016"
10966;"120211665386360016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386360016"
10967;"120211665386370016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386370016"
10968;"120211665386380016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386380016"
10969;"120211665386390016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386390016"
10970;"120211665386400016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386400016"
10971;"120211665386410016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386410016"
10972;"120211665386420016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386420016"
10973;"120211665386430016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386430016"
10974;"120211665386440016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386440016"
10975;"120211665386450016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386450016"
10976;"120211665386460016";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"120211665386460016"
